entrez,pval,fc
51014,1.26195683475789e-114,1.24480811306029
10725,1.4496204956617e-114,1.47649060963891
7543,2.510809152418389e-114,1.39793053124851
301,4.1892398844138005e-114,1.46322547652197
51100,7.82203974610096e-114,1.1505247768294
10988,1.7311619388464e-113,1.36122201895684
84333,1.8415443074281e-113,1.87711488109838
22878,1.89422534752814e-113,1.49449453062604
25957,4.59434905555204e-113,1.38539014862285
55102,4.7174795735486704e-113,1.59608808479436
2191,6.200414242326321e-113,1.61585045255628
57961,6.753164218602501e-113,1.20733350041513
80155,7.71836083851207e-113,1.49462778266802
55031,8.860054532887511e-113,1.67983648593507
9585,9.98539093351379e-113,2.02855076205631
4925,3.02126963321531e-112,1.61986634913425
6670,4.34521750241414e-112,1.22864698301658
2744,5.0391051941665625e-112,1.10802925853678
490,5.4873204087876215e-112,1.61776640527888
51663,6.12115674019422e-112,1.23185998384624
84668,8.1200963509969005e-112,1.2670681468072
10142,8.1200963509969005e-112,2.22559514356391
9961,8.630066191365861e-112,1.33308807404137
5932,1.62702696496586e-111,1.68046839991476
25836,2.4185855691459106e-111,1.88079231199625
10274,3.1504347316898204e-111,1.53723741915333
8476,4.15535497586029e-111,1.5571084473012
3096,7.29676743233872e-111,1.76089574750526
8204,7.32256032528462e-111,1.85394276345676
8989,2.096730803069e-110,1.15221196548804
4288,2.38931798096585e-110,1.25933129093401
523,2.10558792730375e-109,1.02322660598107
131544,2.3650589350076e-109,1.91081569910515
9931,2.53880195515476e-109,1.46905636900749
10808,2.55214777424818e-109,1.59169737956923
23358,2.57212873007738e-109,1.59279030513576
55186,3.245735772639892e-109,1.44198698737478
9994,3.6546797491216e-109,1.87443677777493
96459,5.74267202687235e-109,1.53891304225101
8332,1.07375704445791e-108,-1.19872728476431
10150,2.8247660997468e-108,1.65398297697411
2058,3.72396796993383e-108,1.34208679136034
1386,3.72396796993383e-108,1.47637632428306
6249,6.2856452048795e-108,1.25919064587702
64397,8.07650285406924e-108,1.28009866658425
3007,8.98370681574726e-108,-1.16837521820649
25782,2.78936078795799e-107,1.36169140871865
23198,3.25906712487105e-107,1.42260160187293
135112,3.42044189391916e-107,1.46443740221463
1654,3.84179040633183e-107,1.33192118341124
7750,4.17289227652014e-107,1.54245968981846
8366,4.75996210020292e-107,-1.18677044727002
10499,6.89881701091562e-107,1.49018891846726
23167,7.330136200416001e-107,1.29693225315056
54495,7.95276373767767e-107,1.40759995906158
3416,9.90700494753195e-107,1.58985627915099
9101,1.04514163159082e-106,1.44783449182459
8887,2.07871144286316e-106,1.50370737397805
6885,3.02137616135418e-106,1.40198148282776
26586,4.60022763856719e-106,1.72792053042513
9716,4.88463295496787e-106,1.52086548004584
30836,6.05537134609517e-106,1.88525777092445
54790,8.04513568754421e-106,1.7808287524752
1781,8.71500865560915e-106,1.37452630028727
84188,9.46857841660934e-106,1.55134708118506
55236,9.46857841660934e-106,1.60178451130233
64844,2.46003830941052e-105,1.38914814044725
57532,2.95571018758597e-105,1.16307119853923
9411,5.40024770462123e-105,1.86598086437995
5965,6.85280186109674e-105,1.52450008504717
9581,6.85302865436189e-105,1.60844632761107
55127,2.40900591184141e-104,1.29954939723414
7095,5.47406299956316e-104,1.45115097454501
8546,5.4812812698320304e-104,1.3024573621827
7675,6.362646716469891e-104,1.50752809262586
1665,7.3083564848033e-104,1.26929214080233
64770,8.102284023476852e-104,1.6025514830509
5711,8.745868226891092e-104,1.15409691023175
11213,1.50165170344264e-103,1.07527813077649
5728,2.64547466693744e-103,1.0122846528465
6197,3.09341406887522e-103,1.55275429230599
23607,1.60322882175428e-102,1.61873113488098
23001,3.96084662426493e-102,1.38616415154994
9318,4.76199184278141e-102,1.40780009247449
65056,2.16167928944645e-101,1.27124048367078
5290,2.4208077941381998e-101,1.92542173217341
5981,2.63200982912663e-101,1.28116885552793
663,3.6765196692481497e-101,1.35474202278449
88991,4.15680977652098e-101,1.47982762133068
8969,6.7749864934993e-101,-1.06186312958884
5885,1.19364926178187e-100,1.19917168841608
9611,1.24659615746096e-100,1.15940464882752
4090,1.25366078043716e-100,1.3728806201932
7705,2.03897028058103e-100,1.74046699932488
